,GroupID,a,b,c,d,AIC,Converge
0,677,-32733.36262364768,347.4986721936937,-1.2295741725647769,0.0014501162539086912,-59.17904128069539,Y
0,678,-15573.290788519833,156.05141200146548,-0.5208958955533223,0.0005792202396223312,-18.779086335096007,Y
0,679,1426.4357360483266,-15.751235863949118,0.05761440047958709,-6.981839241847631e-05,-32.75131774042709,Y
0,680,-37376.28211159382,372.4341510935327,-1.2359955945115306,0.0013661925441387623,-5.9235153602489685,Y
0,681,-20071.226408967355,198.19817021671074,-0.6515619092465887,0.0007131059283065278,-7.053425982795485,Y
0,682,-18140.135453470222,180.0788276522981,-0.5952519968664982,0.0006552121600381988,4.543922305240918,Y
0,683,27786.919971267504,-281.6176704404847,0.9507893524969859,-0.0010693060228747309,-14.161619261459325,Y
0,684,8611.673265492955,-87.24646788182324,0.29443102871976806,-0.00033095791585865643,-34.02004721487594,Y
0,685,57355.711393819125,-581.6648581741786,1.9645472338663936,-0.002209642076874207,-11.38673800401515,Y
0,686,25260.462655532316,-257.31618053285604,0.8732146248718531,-0.000987145802965155,-42.46499629519595,Y
0,687,20177.436147103548,-204.3971758800981,0.6897084187512995,-0.000775215047572593,-15.411893562354045,Y
0,688,3600000.510770858,-35615.10556027947,117.40911108811014,-0.12897288706646307,33.56792136943025,Y
0,689,-243468.17272548482,2346.2213682441675,-7.52703303597339,0.008040026566802558,-5.037593284718895,Y
0,690,151217.7947263579,-1488.3273553537174,4.881082836602065,-0.005333390957708317,-0.3922845818570515,Y
0,691,1952996.414068779,-19225.25091643388,63.061319420268994,-0.06892316734673112,38.33993934533343,Y
0,692,301918.05332815374,-2953.253586483811,9.624519858244915,-0.010450036050667537,-3.1681887479536,Y
0,693,-1847081.7353908084,17818.618349250304,-57.23139870924107,0.06120658548674717,38.65555053958977,Y
0,694,-49265.83854632936,478.76489614491356,-1.5493467579749494,0.0016699475022101033,-5.371578099179647,Y
0,695,93724.51334392655,-923.0067181055346,3.0298101784613913,-0.0033144769688938547,6.483165229191165,Y
0,696,1961355.8152073815,-19618.32825410404,65.34044140404832,-0.07245246692295351,41.18546843911893,Y
0,697,-864329.5605275293,8670.855175313616,-29.040972041378097,0.03248233143278346,13.05057324593532,Y
0,698,486174.23091232893,-4888.346401950286,16.36521505682547,-0.018239646711608985,16.719471923547825,Y
0,699,622119.6920325919,-6263.378506207066,20.999874633056898,-0.02344557446982259,3.038926064193518,Y
0,700,834.1072505890361,-8.7691081046102,0.030636033967132624,-3.554730217487521e-05,-164.24699067081121,Y
0,701,391.5763134399073,-4.234064168606487,0.015225537471935122,-1.8193571474139485e-05,-45.141819004495495,Y
0,702,2862.056199451224,-29.686513922997044,0.1025778465948298,-0.00011805436143763639,-42.302383074425926,Y
0,703,245054.99230498535,-2577.22514817888,9.031119144156186,-0.010544237467250746,46.06682694891254,Y
0,704,23435.501666478896,-247.83537034590577,0.8725085627688338,-0.001022483497618203,0.10171503307708019,Y
0,705,31431.483850717064,-330.3512240564081,1.156599822149921,-0.0013487976078057546,-10.363759816264327,Y
